sal_id,freq,interval,byday,bymonthday,dtstart,until,valid_from,valid_to,opens_at,closes_at,description
sal_dominican_literacy_free_english_help_esl,WEEKLY,,MO,,2026-09-14,,,,08:00,20:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,TU,,2026-09-14,,,,08:00,18:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,WE,,2026-09-14,,,,08:00,20:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,TH,,2026-09-14,,,,08:00,18:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,FR,,2026-09-14,,,,09:00,14:00,
sal_lakeshore_legal_dearborn_office,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:30,16:30,
sal_lakeshore_legal_free_legal_help_by_phone_call_line,WEEKLY,,"MO,TU,TH",,2026-09-14,,,,09:00,17:00,
sal_lakeshore_legal_free_legal_help_by_phone_call_line,WEEKLY,,WE,,2026-09-14,,,,09:00,18:00,
sal_lakeshore_legal_free_legal_help_by_phone_call_line,WEEKLY,,FR,,2026-09-14,,,,09:00,13:00,
sal_michigan_legal_36th_district_court_legal_self_help_cente,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,16:30,
sal_wayne_county_friend_of_the_court_customer_service,WEEKLY,,"MO,TU,TH",,2026-09-14,,,,08:30,16:30,
sal_detroit_health_detroit_id_health_department,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_detroit_health_detroit_id_patton_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_new_light_recovery_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,06:00,15:00,
sal_new_light_recovery_center,WEEKLY,,SA,,2026-09-14,,,,08:00,10:00,
sal_changing_lives_class_agency,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_pope_francis_center_day_center,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,07:00,11:00,
sal_united_community_eviction_defense_helpline,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_united_community_tax_foreclosure_helpline,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_city_of_dearborn_housing_commission,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_city_of_help_with_a_property_tax_bill_you_cannot_pay,WEEKLY,,MO,,2026-09-14,,,,08:00,16:00,
sal_city_of_help_with_a_property_tax_bill_you_cannot_pay,WEEKLY,,"WE,TH,FR",,2026-09-14,,,,08:00,16:00,
sal_city_of_help_with_a_property_tax_bill_you_cannot_pay,WEEKLY,,TU,,2026-09-14,,,,10:00,18:00,
sal_michigan_legal_court_self_help_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,12:00,
sal_michigan_legal_court_self_help_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,13:00,13:30,
sal_avalon_healing_wellness_clinic_care_after_an_assault,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:00,18:00,
sal_passenger_recovery_free_recovery_coaching_hamtramck_cent,WEEKLY,,"WE,TH,FR,SA",,2026-09-14,,,,12:00,20:00,
sal_passenger_recovery_free_recovery_coaching_hamtramck_cent,WEEKLY,,SU,,2026-09-14,,,,13:00,20:00,
sal_alternatives_for_crisis_resource_center_food_clothes_and,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,21:00,
sal_access_detroit_at_work_career_center_west_warren,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_access_detroit_at_work_career_center_west_warren,WEEKLY,,TH,,2026-09-14,,,,17:00,19:00,
sal_concentra_downtown_detroit,WEEKLY,,MO,,2026-09-14,,,,07:00,18:00,
sal_concentra_downtown_detroit,WEEKLY,,TU,,2026-09-14,,,,07:00,18:00,
